T_GeV,T_MeV,a_internal,a_physical,z,H_RTK_over_c_Mpc_inv,H_sameparams_LCDM_over_c_Mpc_inv,R_H
2.184781660644296e-06,0.002184781660644296,1.1677346636388563e-07,1.091257758410498e-07,9359151.97173746,186790580.27410755,186790580.5976038,0.9999999982681429
2.2540704648888062e-06,0.0022540704648888064,1.1348034336097785e-07,1.0604028410813357e-07,9652348.473916167,198477142.3479759,198477142.665749,0.9999999983991942
2.3256327676600995e-06,0.0023256327676600996,1.1031551907966964e-07,1.0306057212347178e-07,9954732.917354917,210885656.93470958,210885657.25599563,0.9999999984768395
2.3995499965031447e-06,0.0023995499965031447,1.0727688947377518e-07,1.0018405635304567e-07,10266598.679110223,224058119.68396768,224058120.0196932,0.9999999985016007
2.475905541079335e-06,0.002475905541079335,1.043624175332558e-07,9.740828661801822e-08,10588233.266938712,238038648.94177428,238038649.29636005,0.9999999985104145
2.5547847598560337e-06,0.0025547847598560337,1.0157013724017264e-07,9.472860732565753e-08,10919942.020908402,252873652.67324683,252873653.0484049,0.9999999985163411
2.636274098406716e-06,0.002636274098406716,9.889814487642417e-08,9.214098454065543e-08,11262034.788552757,268611987.2111172,268611987.60532373,0.9999999985324185
2.7204612064932496e-06,0.0027204612064932495,9.6340593627066e-08,8.964150811518363e-08,11614826.270199824,285305132.2554635,285305132.6714995,0.9999999985411568
2.807435056079667e-06,0.0028074350560796667,9.389342940772174e-08,8.722638798391796e-08,11978636.775345715,303007384.79991597,303007385.23987806,0.9999999985480176
2.897286061714894e-06,0.002897286061714894,9.155285753721087e-08,8.489195095098653e-08,12353892.103611156,321775042.82280856,321775043.28861034,0.9999999985505638
2.9901062089745524e-06,0.0029901062089745522,8.931531387449679e-08,8.263464821962069e-08,12741023.083936067,341667592.7126165,341667593.2074924,0.9999999985518885
3.0859891888479544e-06,0.0030859891888479542,8.71774573023261e-08,8.045104003579669e-08,13140466.503774399,362746907.0388378,362746907.5645994,0.9999999985503216
3.1850305360501227e-06,0.0031850305360501225,8.513616252404424e-08,7.833780394610322e-08,13552665.363318156,385077460.13853395,385077460.6977456,0.9999999985477936
3.287327781275163e-06,0.003287327781275163,8.318851372839565e-08,7.62917239542463e-08,13978069.787820209,408726565.6345296,408726566.22952926,0.9999999985430152
3.3939806053097858e-06,0.0033939806053097858,8.133181894428717e-08,7.430969618876955e-08,14417137.999699864,433764626.55747575,433764627.1907627,0.9999999985397551
3.5040909960516156e-06,0.0035040909960516156,7.956348479877311e-08,7.238871587169618e-08,14870336.700186247,460265411.20715714,460265411.88191503,0.9999999985351946
3.617763407435468e-06,0.0036177634074354683,7.78810412085197e-08,7.052587847464925e-08,15338141.176144103,488304361.75573736,488304362.47539324,0.9999999985263505
3.735104933294075e-06,0.003735104933294075,7.628210609986209e-08,6.871837978933047e-08,15821035.676443117,517960938.83924764,517960939.60794634,0.9999999985159032
3.856225480390722e-06,0.003856225480390722,7.476438999028578e-08,6.696351591841103e-08,16319513.02644629,549317983.8124512,549317984.6340665,0.9999999985047608
3.981237953594569e-06,0.003981237953594569,7.332568031466996e-08,6.525868325456119e-08,16834074.150167003,582461100.1478817,582461101.0260415,0.9999999984923283
4.11025844528345e-06,0.00411025844528345,7.196385500155681e-08,6.360137847138037e-08,17365228.55541132,617480059.1418788,617480060.0800064,0.9999999984807134
4.243406428024881e-06,0.004243406428024881,7.06768667120374e-08,6.198919852095577e-08,17913594.813374214,654468267.8902094,654468268.8916994,0.9999999984698476
